post_link,username,comment,timestamp
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,Giliran soal joki kenapa gak ada yg ngerasa impostor syndrome 😒,2024-07-19T11:02:03.000Z
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,"Kayanya yang harus diunderline adalah taking creditnya. Kalau emang merasa menjoki itu seperti hire EO, harusnya di skripsinya ditulis kredit jokinya siapa.",2024-07-19T11:02:03.000Z
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,"Lucu ya disekolahin biar mengasah pikiran, pas dikasih tugas mikir malah cari tenaga outsourcing. Daripada buang2 duit mending gausah sekolah sekalian 🤣",2024-07-19T11:02:03.000Z
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,"Abi, thanks for raising this. Our meeting is 🔥 because of your hot take lol. Di UK — kalo ketahuan ada plagiarisme (meniru pekerjaan orang lain) untuk ujian biasa aja bisa langsung dipanggil academic misconduct panel. Apalagi untuk tesis final — dan contract cheating (joki) itu langsung expulsion. Nggak ada lobby2 etc. It is a very serious offence to misrepresent your work. And I believe this mentality of not taking academic integrity contributes to many facets of our culture",2024-07-19T11:02:03.000Z
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,Ini kenapa banyak yang kontra sama mbaknya dah? Beneran joki udah dianggap hal yang fine-fine aja?,2024-07-19T11:02:03.000Z
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,"Jangan sok tau deh lo soal joki @abigailimuria
Lihat video terbaru gua biar lo paham.",2024-07-19T11:02:03.000Z
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,It’s so interesting to comparatively see how in Europe (at least in Sweden) the current challenge for teaching in higher education is how we’re dealing with written exams/essays due to ChatGPT/AI while Indo has had the normalisation of joki for academic writing as far as I can remember. and how it’s worsened with the fact that students who have the privilege to pursue higher education don’t understand why this is wrong. 🤯,2024-07-19T11:02:03.000Z
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,"Kenapa buka joki? Ya karena di negara ini pintar aja nggak cukup buat sukses teman2 😂 ane gk membenarkan joki ya, cuman emang di lapangan sistemnya gk mempunish hal kyk gini dan banyak org go to uni cuman untuk dpt in gelar nya aja spy bisa buat kerja dan cari duit. Motifnya emang duit dri awal bukan untuk mengembangkan kompetensi 😢 kenapa bisa begitu? Ya karena sistemnya di society udh seperti itu miris emang 😢",2024-07-19T11:02:03.000Z
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,"Kalo dosen ngajak penelitian mahasiswa, terus yang neliti dan nulis naskah nya mahasiswa, tapi submit artikel penulis pertamanya si dosen, termasuk joki nggak ya?",2024-07-19T11:02:03.000Z
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,"but what if, hypothetically speaking, justru fenomena joki skripsi ini justru malah bisa “menyelamatkan” beberapa orang dari keterpurukan. by assuming that not everyone yg pakai jasa joki adalah pemalas rather than just someone who currently have their own battles. what if jasa joki ini, for certain types of people, serves as their “second chance” to fight another battle in the future. simply put, hidup mereka udah terpuruk but at least they have some diploma degree to give life another shot. can this somehow categorize as the end justifies the means?

*speaking based on personal experience helping a dear friend who I know she might choose different path if any",2024-07-19T11:02:03.000Z
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,"Asal kakak tau aja, sekarang malah byk dosen yg nawari mahasiswanya buat ngejoki skripsi sm dia. Saking dikitnya gaji dosen saat ini kak. Jadi dosen jadikan joki sidejobnya. Coba riset deh tentang dosen2 juga pada menangis sm gajinya. Bukan mau menentang joki, tp byk joki2 itu adalah dosen. Kasian kak dosen2 sekarang. Uang kuliah S2 gak murah, mau gak mau harus jadi joki biar sejahtera.",2024-07-19T11:02:03.000Z
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,Kak Abi keliatan kesel bangett njelasinnya 😂,2024-07-19T11:02:03.000Z
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,Manipulasi data jg dinormalisasi,2024-07-19T11:02:03.000Z
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,"Tak kira bakal malu orang orang di call out gini, ternyata mereka nyari justifikasi kalau yang dilakukan itu enggak salah. Yes I do live under a rock but I still have a common sense that cheating is bad. Common sense is not common. 💔",2024-07-19T11:02:03.000Z
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,"Terlepas dari pembahasan, kakak nya cantik",2024-07-19T11:02:03.000Z
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,"This is what happens when you prioritize the final destination over the route you take to get to that final destination. In real life, things like integrity, resilience, effort, perseverance, they matter, but the way our current system is set up is so that people are focused only on how good the results look no matter how unethical it was to get them.",2024-07-19T11:02:03.000Z
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,Normalisasi jasa joki emang banyak sih. Titip absen pas kuliah itu idah joki sebenernya. 🤣,2024-07-19T11:02:03.000Z
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,"Mau heran, TAPI INI INDONESIA BROOOHH ❤️",2024-07-19T11:02:03.000Z
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,"Ya Allah cukup shock aku dgrnya sampe ada PT nya lho gila deh 😢 keinget dulu pas jaman sklh gimana aku yg ga pinter2 amat ini terseok2 mnt diajarin sm temen yg lbh pinter, effort bgt deh, nurunin harga diri dan gengsi jg lg, srg dipandang sblh mata, ditatap sinis dan dianggap ganggu, bahkan kalo dpt nilai bagus itu didengkiin ya Allah 😅 lha hr ini org2 makin gaco aja ya, inilah buah dr pendidikan yg cuma mentingin hasil, ga menghargai proses apalagi jg ga menghargai kepintaran jg lg, pintar aja ga cukup buat jd sukses 😅 ya gimana org2 ga pd tertarik ngejoki, krn menganggap bljr tuh ptg ga ptg, yg ptg d",2024-07-19T11:02:03.000Z
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,Say it out loud!!,2024-07-19T11:02:03.000Z
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,"kak, gausah ke pendidikan tinggi dulu, aku ikutan ke acara lomba mewarnai buat anak TK, yg ikut ponakan aku, well si panitia udh bilang 'ayooo orangtuanya gaboleh bantuin', tetep aja hampir semua peserta nih dibantu mewarnai sama emak bapaknya, yg menang? Yg bagus bgt hasil warnaan emak bapaknya, yakali, yg kayak gini termasuk mengajarkan anak menormalisasi joki sejak dini juga ga sih? Entah kenapa w kesel aja liatnya, soalnya malemnya w latihan sama ponakan, eh pas lomba ya emak bapak yg laen yg lomba 🤣",2024-07-19T11:02:03.000Z
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,"NYONTEK lebih parah dan masif sih, guru biarin siswa NYONTEK itu sekusut-kusutnya potret pendidikan..",2024-07-19T11:02:03.000Z
https://www.instagram.com/reel/C9mfPgmyJ8I/,abigailimuria,"Ya g salah jg sih lah wong yg ngehire joki kan cm mau ad result kyk EO bikin event, kan utk byk org masuk ke sekolah cm buat lulus atau main sama temen. Masa bodoh amat namanya belajar demi mengasah otak dan kemampuan, toh kerjanya ntar lewat ordal atau ngikut ortu. Kdg org bener2 gatau dan gamau tau apa yg mereka gatau, dan mereka gamau tau tujuan pendidikan itu buat apa. Kan klo mau sehat dan berotot misalnya harus berusaha dan ada tujuan yg jelas, ga bisa dijokiin (well there’s ozempic). Sama kyk pendidikan. Kesel juga kan kalo ngelihat misalnya hasil riset dan jurnal yg tulisannya g karuan atau jurnalisme yg nulisnya kiamat mulu krn dari kecil g pernah latihan nulis atau mengaplikasikan sains dan matematika yg udh “dipelajari”. Trus karya2 gini yg jd standar. And it becomes a spiral.",2024-07-19T11:02:03.000Z
